#{"t_start": 1716802849.8440201, "env_id": "None"}
r,l,t
-20250.717,37,25.488188
-20250.717,37,25.55694
-20250.717,37,25.558942
-20250.684,37,25.563942
-20250.717,37,25.611805
-20250.717,37,25.613801
-20250.758,37,25.621318
-20250.717,37,25.686944
-20250.717,37,25.692944
-20250.717,37,25.696461
-20250.717,37,25.750361
-20250.717,37,25.75136
-20250.717,37,25.762868
-20250.717,37,25.814568
-20250.717,37,25.818565
-20250.717,37,25.82117
-20250.717,37,25.877306
-20250.717,37,25.879309
-20250.717,37,25.885832
-20250.717,37,25.931269
-20250.717,37,25.933269
-20250.717,37,25.938269
-20250.69,37,25.988997
-20250.717,37,25.994511
-20250.717,37,25.997511
-20250.717,37,26.040402
-20250.717,37,26.042404
-20250.717,37,26.046918
-20250.717,37,26.087521
-20250.717,37,26.092036
-20250.717,37,26.09504
-20250.717,37,26.146613
-20250.97,37,26.148614
-20250.717,37,26.153014
-20250.67,37,26.198173
-20250.717,37,26.200169
-20250.717,37,26.204678
-20250.717,37,26.257293
-20250.844,37,26.260804
-20250.717,37,26.262804
-20251.314,37,26.305885
-20250.717,37,26.307887
-20251.443,37,26.314411
-20250.717,37,26.393472
-20250.717,37,26.401165
-20250.717,37,26.404166
-20251.07,37,26.455772
-20250.717,37,26.457774
-20250.717,37,26.463287
-20250.717,37,26.515127
-20250.717,37,26.517127
-20250.785,37,26.522127
-20250.717,37,26.566705
-20250.717,37,26.571844
-20250.842,37,26.574844
-20250.717,37,26.636464
-20250.717,37,26.638465
-20250.717,37,26.643983
-20250.717,37,26.688706
-20250.74,37,26.693706
-20250.717,37,26.696207
-20250.717,37,26.747275
-20250.717,37,26.749791
-20260.283,38,26.75579
-20260.318,38,26.798378
-20280.979,40,26.80842
-20261.162,38,26.810419
-20251.002,37,26.880744
-20251.014,37,26.884746
-20259.338,38,26.890044
-20269.686,39,26.935144
-20250.879,37,26.939146
-20251.717,37,26.941662
-20260.229,38,26.994242
-20250.717,37,26.995289
-20259.17,38,27.001289
-20251.238,37,27.042876
-20289.883,41,27.04939
-20260.174,38,27.05339
-20271.346,39,27.093349
-20259.56,38,27.103859
-20259.994,38,27.104857
-20259.686,38,27.149835
-20250.488,37,27.156343
-20269.695,39,27.158345
-20269.342,39,27.224004
-20259.295,38,27.228005
-20288.314,41,27.235506
-20279.068,40,27.29485
-20258.832,38,27.29585
-20319.865,44,27.311371
-20288.846,41,27.362424
-20321.06,44,27.368999
-20285.795,41,27.378002
-20308.812,43,27.431442
-20278.768,40,27.435612
-20289.902,41,27.446128
-20278.973,40,27.505051
-20299.158,42,27.506053
-20270.63,39,27.515577
-20261.133,38,27.563137
-20371.885,49,27.579165
-20329.78,45,27.581676
-20330.848,45,27.657346
-20340.336,46,27.68495
-20391.504,51,27.690466
-20368.904,49,27.739053
-20308.467,43,27.753079
-20390.156,51,27.767127
-20269.867,39,27.791929
-20299.432,42,27.805956
-20259.94,38,27.817489
-20270.082,39,27.851901
-20309.771,43,27.87416
-20260.17,38,27.876162
-20269.77,39,27.903708
-20289.002,41,27.936211
-20269.463,39,27.936211
-20287.072,41,27.973307
-20269.91,39,27.995352
-20310.37,43,28.001868
-20269.965,39,28.024682
-20259.826,38,28.046714
-20308.291,43,28.059229
-20269.81,39,28.089285
-20298.26,42,28.11654
-20289.814,41,28.126067
-20268.914,39,28.14359
-20280.67,40,28.168436
-20300.686,42,28.185825
-20260.068,38,28.199346
-20269.766,39,28.226898
-20258.99,38,28.238421
-20271.363,39,28.251553
-20250.256,37,28.275609
-20279.738,40,28.294127
-20259.291,38,28.307154
-20260.096,38,28.331706
-20259.979,38,28.349736
-20269.715,39,28.364968
-20250.586,37,28.387056
-20251.018,37,28.406074
-20259.514,38,28.421512
-20280.107,40,28.464668
-20270.814,39,28.48324
-20260.543,38,28.499256
-20259.97,38,28.536795
-20251.516,37,28.552332
-20250.926,37,28.564396
-20269.32,39,28.5987
-20261.146,38,28.611208
-20260.334,38,28.633244
-20259.91,38,28.660379
-20268.87,39,28.674192
-20258.111,38,28.685703
-20279.393,40,28.716257
-20259.52,38,28.732751
-20269.564,39,28.745372
-20261.012,38,28.774757
-20251.12,37,28.7818
-20251.121,37,28.79431
-20259.348,38,28.823436
-20267.02,39,28.834953
-20279.285,40,28.852977
-20258.719,38,28.885062
-20259.818,38,28.895138
-20259.455,38,28.909658
-20251.006,37,28.940027
-20260.447,38,28.954547
-20271.104,39,28.978077
-20259.87,38,29.008661
-20258.889,38,29.023689
-20270.04,39,29.042193
-20250.902,37,29.067251
-20260.064,38,29.080496
-20270.3,39,29.104519
-20260.494,38,29.123084
-20251.227,37,29.135595
-20279.164,40,29.155425
-20259.338,38,29.170947
-20259.193,38,29.184467
-20250.715,37,29.204502
-20251.041,37,29.230544
-20310.033,43,29.248572
-20260.066,38,29.261088
-20259.99,38,29.27562
-20258.385,38,29.298158
-20258.867,38,29.31242
-20250.55,37,29.33006
-20280.412,40,29.359099
-20348.05,47,29.381416
-20250.963,37,29.383417
-20259.645,38,29.407959
-20259.955,38,29.430524
-20251.092,37,29.434526
-20287.398,41,29.478141
-20260.71,38,29.520246
-20271.244,39,29.522756
-20250.77,37,29.569771
-20259.586,38,29.60232
-20298.656,42,29.611837
-20259.004,38,29.636859
-20250.717,37,29.657426
-20251.057,37,29.664947
-20250.717,37,29.688889
-20250.402,37,29.705933
-20251.25,37,29.721433
-20250.707,37,29.742456
-20260.746,38,29.764351
-20250.717,37,29.772624
-20251.148,37,29.794652
-20251.01,37,29.814681
-20250.717,37,29.828192
-20250.664,37,29.854733
-20259.723,38,29.875735
-20250.717,37,29.881739
-20250.717,37,29.902763
-20259.6,38,29.925788
-20250.717,37,29.928827
-20261.148,38,29.95885
-20251.062,37,29.979573
-20250.467,37,29.998618
-20250.717,37,30.021659
-20250.717,37,30.043476
-20260.154,38,30.048993
-20250.01,37,30.081043
-20260.117,38,30.101081
-20251.117,37,30.106084
-20250.633,37,30.128855
-20250.605,37,30.152418
-20259.396,38,30.157417
-20258.02,38,30.180862
-20251.324,37,30.208393
-20260.207,38,30.216445
-20250.717,37,30.243033
-20250.93,37,30.267572
-20259.916,38,30.276114
-20250.363,37,30.29814
-20250.717,37,30.331229
-20251.508,37,30.340747
-20250.664,37,30.365036
-20250.717,37,30.38607
-20260.33,38,30.394099
-20250.395,37,30.412058
-20250.717,37,30.431609
-20250.717,37,30.447094
-20250.621,37,30.468995
-20250.717,37,30.494403
-20250.514,37,30.504917
-20250.594,37,30.526944
-20251.13,37,30.551846
-20250.514,37,30.563932
-20259.676,38,30.596488
-20250.795,37,30.619473
-20258.3,38,30.628982
-20250.834,37,30.646927
-20269.67,39,30.667303
-20250.717,37,30.676827
-20250.523,37,30.697856
-20250.596,37,30.723885
-20250.564,37,30.731401
-20250.584,37,30.750964
-20250.758,37,30.771506
-20251.318,37,30.778505
-20250.14,37,30.796532
-20259.14,38,30.830969
-20260.816,38,30.839483
-20250.062,37,30.856512
-20260.705,38,30.881906
-20281.133,40,30.895423
-20250.467,37,30.916433
-20266.338,39,30.95183
-20259.668,38,30.965503
-20289.953,41,30.982055
-20268.914,39,31.011594
-20270.898,39,31.026103
-20268.938,39,31.046674
-20260.03,38,31.071945
-20269.738,39,31.081456
-20259.96,38,31.098969
-20328.754,45,31.137024
-20269.006,39,31.139024
-20269.906,39,31.154537
-20259.82,38,31.186122
-20288.314,41,31.192225
-20269.223,39,31.209102
-20269.229,39,31.248014
-20270.113,39,31.273107
-20268.557,39,31.294157
-20259.855,38,31.335462
-20259.49,38,31.342803
-20300.475,42,31.361839
-20269.146,39,31.392905
-20250.908,37,31.397905
-20251.088,37,31.41694
-20258.566,38,31.443492
-20298.773,42,31.454003
-20280.158,40,31.477548
-20287.914,41,31.518142
-20260.764,38,31.52615
-20320.348,44,31.570228
-20266.127,39,31.597638
-20280.152,40,31.609154
-20270.766,39,31.632092
-20260.26,38,31.654127
-20299.576,42,31.664641
-20280.45,40,31.685183
-20268.498,39,31.706218
-20278.648,40,31.719727
-20309.639,43,31.749039
-20279.465,40,31.763849
-20279.943,40,31.776873
-20250.191,37,31.795757
-20268.389,39,31.818802
-20269.033,39,31.832315
-20288.568,41,31.861396
-20259.934,38,31.875907
-20300.297,42,31.894717
-20278.734,40,31.913749
-20310.367,43,31.93126
-20270.777,39,31.94585
-20259.81,38,31.964869
-20250.838,37,31.989433
-20269.357,39,32.007459
-20289.11,41,32.034439
-20279.312,40,32.056326
-20260.275,38,32.070351
