#{"t_start": 1716648255.1611516, "env_id": "None"}
r,l,t
-39.0,41,98.19325
-40.0,42,98.203762
-37.0,39,98.221786
-38.0,40,98.245318
-38.0,40,98.26235
-37.0,39,98.27888
-41.0,43,98.385671
-38.0,40,98.398702
-38.0,40,98.430764
-38.0,40,98.449995
-37.0,39,98.454507
-39.0,41,98.469029
-37.0,39,98.494557
-42.0,44,98.510087
-37.0,39,98.522614
-38.0,40,98.547166
-38.0,40,98.559184
-38.0,40,98.572709
-37.0,39,98.610255
-38.0,40,98.624272
-38.0,40,98.636791
-37.0,39,98.66381
-40.0,42,98.679842
-39.0,41,98.689355
-37.0,39,98.770526
-38.0,40,98.809302
-38.0,40,98.818819
-38.0,40,98.854911
-38.0,40,98.871954
-37.0,39,98.87946
-38.0,40,98.895976
-37.0,39,98.909505
-39.0,41,98.91802
-38.0,40,98.934047
-37.0,39,98.94908
-38.0,40,98.970111
-41.0,43,98.996166
-39.0,41,99.006677
-42.0,44,99.022724
-40.0,42,99.045301
-30.0,38,99.051809
-38.0,40,99.075855
-38.0,40,99.102892
-36.0,38,99.108408
-38.0,40,99.131438
-38.0,40,99.181515
-37.0,39,99.185515
-39.0,41,99.319864
-38.0,40,99.336378
-38.0,40,99.338889
-38.0,40,99.360447
-38.0,40,99.376964
-36.0,38,99.377964
-37.0,39,99.41203
-38.0,40,99.438087
-40.0,42,99.439088
-38.0,40,99.459627
-38.0,40,99.484224
-39.0,41,99.486727
-38.0,40,99.510754
-37.0,39,99.544342
-41.0,43,99.54585
-40.0,42,99.571902
-37.0,39,99.594975
-40.0,42,99.599979
-40.0,42,99.627051
-41.0,43,99.806996
-38.0,40,99.809011
-36.0,38,99.831064
-38.0,40,99.86213
-38.0,40,99.865141
-38.0,40,99.887174
-37.0,39,99.914722
-37.0,39,99.91773
-38.0,40,99.943756
-37.0,39,99.975796
-39.0,41,99.980309
-38.0,40,100.002336
-38.0,40,100.02536
-38.0,40,100.029359
-39.0,41,100.056426
-39.0,41,100.084973
-37.0,39,100.086976
-39.0,41,100.107999
-38.0,40,105.535875
-38.0,40,105.538885
-39.0,41,105.636122
-38.0,40,105.672202
-28.0,38,105.672202
-38.0,40,105.703792
-37.0,39,105.717816
-38.0,40,105.718821
-39.0,41,105.743855
-37.0,39,105.756875
-37.0,39,105.757873
-37.0,39,105.801476
-37.0,39,105.816029
-36.0,38,105.816029
-30.0,38,105.838067
-36.0,38,105.85158
-39.0,41,105.855088
-37.0,39,105.887141
-37.0,39,105.906667
-36.0,38,105.909178
-37.0,39,105.939216
-38.0,40,105.95878
-38.0,40,105.960779
-37.0,39,105.995446
-36.0,38,106.011955
-37.0,39,106.015456
-37.0,39,106.044112
-36.0,38,106.151993
-37.0,39,106.162026
-37.0,39,106.188572
-36.0,38,106.198093
-38.0,40,106.204092
-37.0,39,106.234464
-36.0,38,106.244985
-36.0,38,106.251507
-36.0,38,106.280067
-38.0,40,106.29711
-39.0,41,106.330207
-36.0,38,106.350802
-36.0,38,106.365327
-37.0,39,106.374849
-39.0,41,106.39939
-36.0,38,106.411704
-38.0,40,106.435768
-36.0,38,106.455556
-39.0,41,106.470369
-37.0,39,106.478686
-37.0,39,106.56539
-36.0,38,106.578912
-36.0,38,106.610495
-37.0,39,106.642062
-39.0,41,106.653576
-38.0,40,106.659604
-38.0,40,106.685644
-36.0,38,106.698688
-37.0,39,106.705695
-37.0,39,106.727728
-37.0,39,106.74177
-39.0,41,106.752283
-36.0,38,106.771359
-36.0,38,106.793911
-36.0,38,106.807443
-30.0,38,106.822968
-36.0,38,106.834478
-39.0,41,106.854523
-38.0,40,106.876548
-37.0,39,106.88806
-37.0,39,106.912604
-36.0,38,106.927784
-39.0,41,106.939307
-36.0,38,107.037549
-36.0,38,107.06218
-38.0,40,107.078709
-37.0,39,107.087178
-39.0,41,107.115749
-38.0,40,107.151334
-37.0,39,107.162856
-37.0,39,107.190418
-38.0,40,107.210465
-36.0,38,107.218472
-37.0,39,107.23851
-36.0,38,107.252227
-37.0,39,107.269287
-38.0,40,107.291335
-39.0,41,107.308362
-30.0,38,107.312361
-38.0,40,107.335929
-38.0,40,107.356972
-37.0,39,107.360083
-39.0,41,107.392627
-38.0,40,107.408145
-38.0,40,107.411144
-37.0,39,107.532959
-38.0,40,107.559506
-37.0,39,107.561506
-37.0,39,107.580534
-37.0,39,107.595562
-36.0,38,107.596562
-36.0,38,107.620617
-36.0,38,107.642662
-38.0,40,107.647166
-37.0,39,107.672735
-37.0,39,107.690755
-37.0,39,107.694763
-38.0,40,107.721784
-36.0,38,107.734806
-36.0,38,107.737806
-38.0,40,107.772874
-38.0,40,107.789919
-37.0,39,107.792916
